Business Name,Category,City,State/Province,Country,Phone,Contact Name,Notes
"""Sundance Barber""",Barbershop,Lubbock,Texas,USA,(936) 577-9904,Chris Makinen,Yellow Pages listing.
"""Alliance Pet Care""",Pet Sitting,Nanaimo,British Columbia,Canada,(604) 266-2429,Roy Petrov,Angie's List profile.
"""Midland Window Coverings""",Blinds & Shutters,Dallas,Texas,USA,(325) 323-1395,Joyce Wood,Flyers and referrals.
"""Crossroads Power Washing Co.""",Pressure Washing,Longueuil,Quebec,Canada,(819) 582-5309,Jean Hunter,"Radio ads, no web."
"""Parkside Clean Team""",Cleaning Services,Warren,Michigan,USA,(313) 350-5920,Dr. Phil Nguyen,Phone book listing.
"""Ace Electronics Repair""",TV Repair,Virginia Beach,Virginia,USA,(276) 737-5356,Kevin Belanger,Yelp + Facebook. No website.
"""Gold Star Tanning Salon""",Tanning Salon,Fairbanks,Alaska,USA,(907) 393-8778,Priya Wood,"Radio ads, no web."
"""Brookside Personal Training""",Personal Training,Kansas City,Missouri,USA,(660) 272-3393,Denis Novak,Chamber of Commerce directory only.
"""Colorado Decks & Patios""",Deck Building,Sydney,Nova Scotia,Canada,(902) 779-3698,Rhonda Ouellet,HomeStars profile only.
"""Quality Notary Public""",Notary,Vancouver,Washington,USA,(425) 243-6250,Melissa Jenkins,No social media. No web.
"""Skyline Roofing & Siding""",Roofing,Flint,Michigan,USA,(313) 966-3086,Gord Hicks,"Radio ads, no web."
"""Lakeside Books & Taxes""",Bookkeeping,Dartmouth,Nova Scotia,Canada,(902) 709-2229,Maria Bennett,"Old Tripod site, not maintained."
"""Lakewood Laundromat""",Laundromat,Stockton,California,USA,(805) 349-1654,Ivan Allen,Walk-in traffic only.
"""Foothills Chimney Sweep""",Chimney Sweep,Norfolk,Virginia,USA,(703) 534-6048,Omar Foster,"Radio ads, no web."
"""Horizon Salon & Spa""",Hair Salon,Winnipeg,Manitoba,Canada,(204) 680-6522,Ivan Nielsen,No digital presence whatsoever.
"""Harvest Local Courier""",Courier/Delivery,Brandon,Manitoba,Canada,(431) 844-5394,Darnell Joshi,Postcards and flyers.
"""Pioneer Mirror & Glass""",Glass & Mirror,Fayetteville,North Carolina,USA,(910) 445-4133,Crystal Alexander,Farmers market vendor only.
"""Gulf Floor Refinishing""",Hardwood Flooring,Flint,Michigan,USA,(616) 885-4085,Lance Patterson,In business 20+ years. No web presence.
"""White Mountain Flooring Solutions""",Flooring Installation,Overland Park,Kansas,USA,(785) 929-9892,Fang Cox,The Knot listed but no own site.
"""Meadowbrook Reupholstering""",Upholstery,Duluth,Minnesota,USA,(763) 498-5047,Marcus Bailey,Yard signs only.
"""Countryside Wash & Fold""",Laundromat,Charleston,South Carolina,USA,(864) 934-5435,Betty Owens,Listed on Bark.com only.
"""Harvest Chiropractic""",Chiropractic,Niagara Falls,Ontario,Canada,(416) 585-7440,Dr. Pedro Gupta,Facebook page only.
"""Excel Clean Team""",Cleaning Services,Lansing,Michigan,USA,(517) 723-7889,Dale Kowalski,Nextdoor referrals only.
"""Lighthouse Pool Care""",Pool Maintenance,Boulder,Colorado,USA,(970) 596-6130,Glenda Singh,Kijiji ads only.
"""Central Stonework""",Masonry,Detroit,Michigan,USA,(517) 310-9986,Jeff Anderson,Houzz profile. No own website.
"""Willow Creek Pool Service""",Pool Maintenance,Fishers,Indiana,USA,(765) 780-1981,Dr. Troy Peterson,Facebook page only.
"""Pro Concrete & Paving""",Concrete,Charleston,South Carolina,USA,(843) 425-5370,Wei Hughes,The Knot listed but no own site.
"""Columbia Renovations""",Renovations,Las Vegas,Nevada,USA,(702) 375-7279,Olga Chang,Yard signs only.
"""Continental Bakery""",Bakery,Yuma,Arizona,USA,(602) 697-3040,Alexei Jarvinen,Yellow Pages listing.
"""Dollar Hauling & Disposal""",Junk Removal,Seattle,Washington,USA,(253) 425-5578,Travis Mehta,Yellow Pages listing.
"""Skyline Plumbing Services""",Plumbing,Henderson,Nevada,USA,(725) 656-4496,Roy Lee,Lawn signs and referrals.
"""Lakeside Painting Services""",Painting,Pensacola,Florida,USA,(863) 829-7228,Clyde Rogers,Google Maps listing only.
"""Desert Pastries""",Bakery,Syracuse,New York,USA,(212) 711-9315,Roy Bergeron,In business 20+ years. No web presence.
"""Prairie Paving""",Paving/Asphalt,Calgary,Alberta,Canada,(587) 915-7187,Alain Stewart,Flyers and referrals.
"""Diamond Printing""",Printing Services,Lynchburg,Virginia,USA,(434) 932-5762,Raj Wallace,Lawn signs and referrals.
"""All Star Stucco & Plaster""",Stucco,Langley,British Columbia,Canada,(604) 598-6655,Dan Hicks,Walk-in traffic only.
"""Miramar Stucco Finishing""",Stucco,Fort Smith,Arkansas,USA,(501) 556-4744,Merle Wells,Postcards and flyers.
"""Midlands Windows & Doors""",Window Installation,Albuquerque,New Mexico,USA,(505) 237-7249,Teresa Watson,Walk-in traffic only.
"""Borderline Tree Care""",Tree Service,Bozeman,Montana,USA,(406) 456-2298,Pete Joshi,Listed on HomeAdvisor only.
"""Columbia Septic & Drain""",Septic Services,Grande Prairie,Alberta,Canada,(403) 434-7708,Sharon Stevens,Jane App only. No own website.
"""Bayshore Body Shop""",Auto Body,Brantford,Ontario,Canada,(705) 958-3882,Dr. Pete Rao,Old Yellow Pages ad.
"""Liberty Catering Co.""",Catering,Langley,British Columbia,Canada,(604) 817-2262,Carlos Jones,Craigslist ads.
"""First Choice Piano Tuning""",Piano Tuning,Boise,Idaho,USA,(208) 940-3931,DeShawn Campbell,Door-to-door flyers.
"""Elite Wax Studio""",Waxing Studio,Sterling Heights,Michigan,USA,(810) 221-9206,Fatima Murphy,Thumbtack profile only.
"""Cliffside Exterminators""",Pest Control,Norfolk,Virginia,USA,(434) 447-7016,Mark Tremblay,Listed on Bark.com only.
"""Meadowbrook Printing""",Printing Services,Charlotte,North Carolina,USA,(743) 365-1692,Dale Bailey,Craigslist ads.
"""A-1 Stucco Finishing""",Stucco,Sioux City,Iowa,USA,(641) 763-9871,Travis Lapointe,No social media. No web.
"""Metro Flooring Solutions""",Flooring Installation,Guelph,Ontario,Canada,(613) 935-7638,Marcus Wallace,Angie's List profile.
"""Copper Canyon Bronze & Glow""",Tanning Salon,Seattle,Washington,USA,(253) 275-7021,Betty Perez,Jane App only. No own website.
"""Homestead Concrete Co.""",Concrete,Vancouver,Washington,USA,(425) 403-1262,Dr. Hong Owens,Yard signs only.
"""Maple Veterinary Services""",Pet Clinic,Lexington,Kentucky,USA,(606) 450-3331,Lisa Murray,Google Maps listing only.
"""Evergreen Lock & Key""",Locksmith,Cheyenne,Wyoming,USA,(307) 409-8590,Dale Mason,Phone book listing.
"""Elite Pet Sitting""",Pet Sitting,Boulder,Colorado,USA,(720) 676-7333,Brad Butler,Referrals and repeat customers only.
"""Big Sky Mirror & Glass""",Glass & Mirror,Kenosha,Wisconsin,USA,(715) 688-1663,Fang Wallace,"Radio ads, no web."
"""Green Valley Cleaning Co.""",Cleaning Services,Clarksville,Tennessee,USA,(423) 349-5417,Xiao Girard,Yelp listing only.
"""Dockside Roofing & Siding""",Roofing,Dartmouth,Nova Scotia,Canada,(902) 555-6350,Jim Hunter,Old Yellow Pages ad.
"""Mystic Siding Installation""",Siding,Boulder,Colorado,USA,(970) 981-9420,Karen Tucker,Word-of-mouth only.
"""Trail Family Daycare""",Daycare,Sault Ste. Marie,Ontario,Canada,(647) 586-6409,Dr. Dmitri Girard,Chamber of Commerce directory only.
"""Tri-City Small Engine & Mower""",Lawn Mower Repair,Casper,Wyoming,USA,(307) 295-7289,Sharon Stewart,Postcards and flyers.
"""American Dog Grooming""",Dog Grooming,Columbia,Missouri,USA,(417) 628-4172,Liang Brown,Existing site broken since 2018.
"""Lighthouse Custom Embroidery""",Embroidery,Bowling Green,Kentucky,USA,(364) 238-5350,Stephanie Smith,"Radio ads, no web."
"""Dollar Print Shop""",Printing Services,Jacksonville,Florida,USA,(321) 885-8530,Elena Larsen,Facebook group only.
"""Mid-Town Accounting Services""",Bookkeeping,Corpus Christi,Texas,USA,(979) 959-6416,Yuri Petrov,Family-run shop. Facebook only.
"""North Country Daycare""",Daycare,Reading,Pennsylvania,USA,(814) 996-5018,Marcus Nielsen,Lawn signs and referrals.
"""Lone Star Sprinkler Systems""",Irrigation,Jonesboro,Arkansas,USA,(501) 710-7630,Roberto Hayes,Yelp listing only.
"""Excel Dry Cleaning""",Dry Cleaning,Toledo,Ohio,USA,(330) 454-8607,Debbie Petrov,Door-to-door flyers.
"""Mountain High Paint & Stain""",Painting,Oshawa,Ontario,Canada,(905) 506-2329,Lance Cruz,HomeStars profile only.
"""Seaside Auto Repair""",Auto Repair,Maple Ridge,British Columbia,Canada,(778) 357-7786,Raj Harris,"Radio ads, no web."
"""Hillside Roofing""",Roofing,Cranston,Rhode Island,USA,(401) 605-4506,Ping Price,No social media. No web.
"""Fort Animal Care""",Pet Clinic,Bellevue,Nebraska,USA,(402) 807-7174,Elena Ford,No digital presence whatsoever.
"""Blue Sky Painting""",Painting,Gainesville,Florida,USA,(321) 914-3488,Pam Arsenault,Yelp listing only.
"""Country Plumbing""",Plumbing,Kamloops,British Columbia,Canada,(778) 895-6853,Brenda Washington,Chamber of Commerce directory only.
"""American Personal Chef""",Personal Chef,Sarasota,Florida,USA,(321) 240-1003,Xiao Hayes,Nextdoor referrals only.
"""Ironwood Sign Shop""",Sign Making,Frederick,Maryland,USA,(240) 827-5660,Ed Perry,Phone book listing.
"""Prairie Cleaning Services""",Cleaning Services,Burnaby,British Columbia,Canada,(250) 298-9133,Maria Fraser,Google Business profile only.
"""Alliance Exhaust & Brakes""",Muffler Shop,Durham,North Carolina,USA,(980) 663-6877,Sara Halverson,Thumbtack profile only.
"""Royal Floor Refinishing""",Hardwood Flooring,Cleveland,Ohio,USA,(330) 516-6351,Dale Freeman,Yard signs only.
"""Columbia Moving Co.""",Moving,Burnaby,British Columbia,Canada,(604) 351-2764,Dr. Rick Hall,Business card and referrals only.
"""Township Decks & Patios""",Deck Building,Louisville,Kentucky,USA,(859) 444-8890,Mei Myers,"Old Tripod site, not maintained."
"""Riverbend K9 Academy""",Dog Training,Evansville,Indiana,USA,(765) 414-8753,Olga Nieminen,Referrals and repeat customers only.
"""Compass Grounds Care""",Landscaping,El Paso,Texas,USA,(214) 458-7382,Dr. Ana Graham,Instagram only.
"""Meadowbrook Irrigation & Lawn""",Irrigation,Saint John,New Brunswick,Canada,(506) 336-6356,Wayne Makinen,"Old Tripod site, not maintained."
"""Valley Piano & Guitar Lessons""",Music Lessons,Salem,Oregon,USA,(503) 456-7812,Gloria Johnson,No digital presence whatsoever.
"""Colorado Yoga Studio""",Yoga Studio,Columbia,South Carolina,USA,(864) 484-4313,Lisa Bennett,Instagram only.
"""White Mountain Pet Sitting""",Pet Sitting,Santa Rosa,California,USA,(661) 581-6524,Jacques Virtanen,Facebook page only.
"""White Mountain Drywall & Plastering""",Drywall,Vernon,British Columbia,Canada,(250) 874-9273,Nicole Ramirez,Postcards and flyers.
"""North Shore Bronze & Glow""",Tanning Salon,Virginia Beach,Virginia,USA,(757) 240-8453,Jean Stevens,Yelp + Facebook. No website.
"""Northland Food & Catering""",Catering,Fargo,North Dakota,USA,(701) 803-2028,Scott Hughes,"Radio ads, no web."
"""Meadowbrook Winter Services""",Snow Removal,Olympia,Washington,USA,(509) 428-8360,Alexei Sanders,Angie's List profile.
"""Eagle Ridge Custom Cabinets""",Cabinet Making,Santa Rosa,California,USA,(209) 743-4755,Misha Henderson,Word-of-mouth only.
"""Economy Exhaust & Brakes""",Muffler Shop,Medicine Hat,Alberta,Canada,(403) 480-9769,Dr. Mike Simpson,Houzz profile. No own website.
"""Mountain In-Home Pet Care""",Pet Sitting,Yuma,Arizona,USA,(623) 794-4496,Ping Sharma,Houzz profile. No own website.
"""Fort Music Lessons""",Music Lessons,Thunder Bay,Ontario,Canada,(905) 381-9930,Carlos Harrison,Referrals and repeat customers only.
"""Summit Tire Service""",Tire Shop,Mesa,Arizona,USA,(623) 221-2629,Joe Hayes,Phone book listing.
"""Cornerstone Screen & TV Fix""",TV Repair,Camden,New Jersey,USA,(609) 636-4343,Jun Sorensen,Flyers and referrals.
"""Westcoast Window Replacement""",Window Installation,Macon,Georgia,USA,(404) 278-3548,Xiao Arsenault,Kijiji ads only.
"""Economy Mold Remediation""",Mold Remediation,Mobile,Alabama,USA,(334) 545-2989,Roberto Rivera,Thumbtack profile only.
"""Metro Piano Tuning""",Piano Tuning,Markham,Ontario,Canada,(807) 285-6836,Wanda Sorensen,No digital presence whatsoever.
"""Iron Renovations""",Renovations,Springfield,Massachusetts,USA,(351) 264-3658,Kendall Ross,Door-to-door flyers.
"""North Handyman Services""",Handyman,Lake Charles,Louisiana,USA,(337) 598-8084,Rhonda MacDonald,Yellow Pages listing.
"""Willow Custom Tees""",Screen Printing,Truro,Nova Scotia,Canada,(902) 992-2096,Jennifer Bell,Lawn signs and referrals.
"""Oakridge Snow Plowing""",Snow Removal,Fredericton,New Brunswick,Canada,(506) 242-1596,Denis Griffin,Business card and referrals only.
"""Open Range Tow & Recovery""",Towing,Mobile,Alabama,USA,(256) 625-1121,Steve Halverson,Facebook check-ins.
"""Blue Sky Water Damage""",Water Damage Restoration,Kelowna,British Columbia,Canada,(604) 807-3224,Ray Singh,"Radio ads, no web."
"""Oak Grove Hair & Shave""",Barbershop,Timmins,Ontario,Canada,(416) 853-6194,Omar Robinson,HomeStars profile only.
"""Liberty Wood Flooring""",Hardwood Flooring,Mississauga,Ontario,Canada,(905) 880-3243,Dr. Rick Nelson,Angie's List profile.
"""Community Sprinkler Systems""",Irrigation,West Valley City,Utah,USA,(801) 572-2230,Omar Gomez,"Lettered truck, no site."
"""Lakeside Hardwood Floors""",Hardwood Flooring,Toledo,Ohio,USA,(937) 295-3251,Jim Hughes,Listed on HomeAdvisor only.
"""Highland Shoe Repair""",Shoe Repair,Boise,Idaho,USA,(208) 326-3992,Ray Jenkins,Listed on Bark.com only.
"""Blue Ridge Transmission""",Transmission Repair,Moose Jaw,Saskatchewan,Canada,(306) 929-9993,Mark Long,Listed on Bark.com only.
"""Gateway Mirror & Glass""",Glass & Mirror,Peterborough,Ontario,Canada,(807) 241-6110,Hong Green,Existing site broken since 2018.
"""First Choice Power Washing Co.""",Pressure Washing,Cranston,Rhode Island,USA,(401) 309-8814,Dr. Jeff Collins,Word-of-mouth only.
"""Lakeshore Rehab & Physio""",Physiotherapy,Austin,Texas,USA,(817) 453-2343,Ed Jenkins,Facebook group only.
"""Rocky Road Auto Body""",Auto Body,Warren,Michigan,USA,(989) 329-3774,Steve Tremblay,Thumbtack profile only.
"""AAA Movers""",Moving,Seattle,Washington,USA,(253) 704-9971,Yuri Nieminen,HomeStars profile only.
"""Direct Bug & Rodent Control""",Pest Control,Green Bay,Wisconsin,USA,(414) 614-7742,Ana Lapointe,Yelp + Facebook. No website.
"""Empire Garage Door Service""",Garage Doors,Rochester,New York,USA,(718) 819-9153,Karen Korhonen,Facebook page only.
"""Pinecrest Concrete""",Concrete,Charlottesville,Virginia,USA,(434) 856-2965,Jorge Christensen,Chamber of Commerce directory only.
"""Superior Junk Removal""",Junk Removal,Cedar Rapids,Iowa,USA,(319) 900-7467,Amber Barnes,Phone book listing.
"""Cascade Trans Repair""",Transmission Repair,Utica,New York,USA,(315) 912-1225,Mike Murray,Existing site broken since 2018.
"""Desert Drywalling""",Drywall,Sioux Falls,South Dakota,USA,(605) 577-6326,Sharon Morris,Existing site broken since 2018.
"""Southgate Stucco Finishing""",Stucco,Bracebridge,Ontario,Canada,(705) 349-4387,Clyde Duncan,Phone orders only.
"""Silver Creek Remodeling""",Renovations,Lansing,Michigan,USA,(517) 647-1801,Jose Gauthier,Angie's List profile.
"""Meadowbrook Plumbing & Drain""",Plumbing,Kenosha,Wisconsin,USA,(715) 496-4339,Kevin Martin,Existing site broken since 2018.
"""Colonial Concrete Co.""",Concrete,Fayetteville,North Carolina,USA,(252) 684-9676,Jin Rivera,Craigslist ads.
"""High Country Dry Cleaners""",Dry Cleaning,Fort McMurray,Alberta,Canada,(780) 688-7399,Melissa Hicks,Postcards and flyers.
"""Dollar Auto Works""",Auto Repair,Chilliwack,British Columbia,Canada,(250) 697-7300,Brenda Jones,Lawn signs and referrals.
"""Riverbend Catering Co.""",Catering,Dartmouth,Nova Scotia,Canada,(902) 906-2619,Don Perry,Postcards and flyers.
"""Golden Valley Restoration Services""",Water Damage Restoration,Brampton,Ontario,Canada,(416) 447-5633,Dr. Glen Garcia,Angie's List profile.
"""Valley View T-Shirt Printing""",Screen Printing,Manchester,New Hampshire,USA,(603) 842-9143,Natasha Joshi,Listed on HomeAdvisor only.
"""All Season Plumbing Services""",Plumbing,Louisville,Kentucky,USA,(270) 692-4168,Olga Freeman,Instagram only.
"""Tidewater Drywalling""",Drywall,Youngstown,Ohio,USA,(614) 404-7585,Jorge Olsen,Chamber of Commerce directory only.
"""Old Town Dethatching""",Power Raking,Quebec City,Quebec,Canada,(438) 450-6320,Ray Fisher,Word-of-mouth only.
"""High Plains Mold & Moisture Control""",Mold Remediation,Charleston,South Carolina,USA,(843) 641-1269,Miguel Lafleur,Craigslist ads.
"""Coastal Drywall""",Drywall,Quebec City,Quebec,Canada,(418) 747-2189,Lance Thomas,Yellow Pages listing.
"""Longview Auto School""",Driving School,Sault Ste. Marie,Ontario,Canada,(647) 579-2586,Brenda Watson,Word-of-mouth only.
"""Pineview Septic & Drain""",Septic Services,Flagstaff,Arizona,USA,(623) 414-2531,Sandy Patterson,Facebook group only.
"""Borderline Movers""",Moving,Elgin,Illinois,USA,(312) 245-8798,Malik MacDonald,Postcards and flyers.
"""Sagebrush Bakery""",Bakery,Bangor,Maine,USA,(207) 302-2453,Glenda James,Thumbtack profile only.
"""Pacific Custom Tailoring""",Tailoring/Alterations,Bozeman,Montana,USA,(406) 971-8411,Mike Webb,The Knot listed but no own site.
"""All Star Home Security""",Security Systems,Lewiston,Maine,USA,(207) 397-3819,Ray MacLeod,Flyers and referrals.
"""Tri-City Locksmith""",Locksmith,Pueblo,Colorado,USA,(720) 671-2003,Jean Gray,Chamber of Commerce directory only.
"""Prime Massage Therapy""",Massage Therapy,Missoula,Montana,USA,(406) 575-5908,Gary Robinson,"Old Tripod site, not maintained."
"""Compass Gutter Cleaning""",Gutter Cleaning,Dover,Delaware,USA,(302) 745-3868,Gilles Johnson,Existing site broken since 2018.
"""Westcoast Drywall""",Drywall,Cape Coral,Florida,USA,(352) 645-4756,Jennifer Lewis,Flyers and referrals.
"""Superior Pool Care""",Pool Maintenance,Brantford,Ontario,Canada,(613) 537-8422,Tyrone Shah,Flyers and referrals.
"""Seaside Winter Services""",Snow Removal,London,Ontario,Canada,(613) 655-5574,Amanda Hunter,Facebook check-ins.
"""Tri-City Well Drilling""",Well Drilling,Kansas City,Missouri,USA,(660) 676-2491,Jean Marshall,Yelp + Facebook. No website.
"""Apex Concrete""",Concrete,Carmel,Indiana,USA,(463) 865-3215,DeShawn Carter,Yelp listing only.
"""Northland Tattoo""",Tattoo Parlour,Detroit,Michigan,USA,(810) 821-9907,Linda Bennett,Craigslist ads.
"""Oak Grove Moving""",Moving,Niagara Falls,Ontario,Canada,(905) 467-6440,Sara Bergeron,The Knot listed but no own site.
"""Anchor Stonework""",Masonry,Lowell,Massachusetts,USA,(508) 915-2464,Glenda Peterson,Listed on HomeAdvisor only.
"""Bayview Insulation Co.""",Insulation,Calgary,Alberta,Canada,(780) 671-3697,Kendall Hall,Postcards and flyers.
"""All Pro Duct Cleaning""",Duct Cleaning,Charleston,South Carolina,USA,(803) 940-1497,John Miller,No digital presence whatsoever.
"""Valley View Reupholstering""",Upholstery,Lewiston,Maine,USA,(207) 692-2609,Sasha Hall,Business card and referrals only.
"""Riverside Print Shop""",Printing Services,Niagara Falls,Ontario,Canada,(613) 226-3453,Brian MacDonald,Farmers market vendor only.
"""South Side Tile & Stone""",Tile Installation,West Valley City,Utah,USA,(435) 467-3609,Joyce Grant,No digital presence whatsoever.
"""Plateau Pastries""",Bakery,Lexington,Kentucky,USA,(270) 354-3879,Ying Gauthier,Old Yellow Pages ad.
"""Grand Nails & Spa""",Nail Salon,Chico,California,USA,(562) 226-1723,Tamara Anderson,Google Business profile only.
"""Seaside Tree & Stump""",Tree Service,Mobile,Alabama,USA,(256) 290-6922,Jose Reynolds,Listed on HomeAdvisor only.
"""Columbia Chimney Sweep""",Chimney Sweep,Kitchener,Ontario,Canada,(519) 352-5414,Gilles Pham,Thumbtack profile only.
"""Hillside Security & Locks""",Locksmith,Pittsburgh,Pennsylvania,USA,(272) 790-7149,Mark West,Word-of-mouth only.
"""Quality Food & Catering""",Catering,Oxnard,California,USA,(559) 816-8537,Jeff Ortiz,In business 20+ years. No web presence.
"""White Mountain Remodeling""",Renovations,Yuma,Arizona,USA,(480) 474-1769,Jamal Richardson,Kijiji ads only.
"""Evergreen Restoration Services""",Water Damage Restoration,Virginia Beach,Virginia,USA,(757) 205-5286,Karen Petrov,Family-run shop. Facebook only.
"""Riverbend Computer Repair""",Computer Repair,Camden,New Jersey,USA,(732) 728-4176,Svetlana Gagnon,Phone orders only.
"""North Shore Mower Repair""",Lawn Mower Repair,Lansing,Michigan,USA,(947) 267-3318,Dale Perry,No social media. No web.
"""Township Tax Services""",Tax Preparation,Columbus,Ohio,USA,(740) 948-6038,Marcus Kim,Existing site broken since 2018.
"""All Season Cabinetry""",Cabinet Making,Lafayette,Louisiana,USA,(985) 641-4504,Craig Laine,Yellow Pages listing.
"""Blue Sky Wood Flooring""",Hardwood Flooring,Newark,New Jersey,USA,(862) 360-6811,Bill Harrison,Walk-in traffic only.
"""American Watch Repair""",Watch Repair,Fargo,North Dakota,USA,(701) 548-9904,Glen Kelly,Instagram only.
"""Trail Welding""",Welding,Flint,Michigan,USA,(616) 486-5761,Frank Tremblay,Thumbtack profile only.
"""Mountain High Personal Chef""",Personal Chef,Kitchener,Ontario,Canada,(647) 769-9207,Melissa Heikkinen,Listed on HomeAdvisor only.
"""Green Valley Auto Detailing""",Auto Detailing,Utica,New York,USA,(212) 889-6569,Blake Mehta,Word-of-mouth only.
"""Frontier Welding""",Welding,New Haven,Connecticut,USA,(475) 398-9621,Michelle James,Angie's List profile.
"""Sunshine Dry Cleaning""",Dry Cleaning,Salem,Oregon,USA,(503) 304-2475,Wayne Nieminen,Yellow Pages listing.
"""North Country Small Engine & Mower""",Lawn Mower Repair,Fort McMurray,Alberta,Canada,(403) 446-2497,Dr. Karen Chiasson,Family-run shop. Facebook only.
"""Mission Senior Care""",Senior Home Care,Minneapolis,Minnesota,USA,(320) 240-7662,Brenda Marshall,Word-of-mouth only.
"""Blue Sky Bicycle Service""",Bicycle Repair,Fort Lauderdale,Florida,USA,(813) 598-2561,Joyce Lavoie,Local newspaper ads only.
"""Willowbrook Nail Studio""",Nail Salon,Seattle,Washington,USA,(253) 413-1435,Dr. Jamal Williams,Google Maps listing only.
"""Gulf Dry Cleaners""",Dry Cleaning,Idaho Falls,Idaho,USA,(208) 450-7181,Don Kowalski,Facebook group only.
"""Family Rehab & Physio""",Physiotherapy,Saint John,New Brunswick,Canada,(506) 203-4501,Mei Singh,No social media. No web.
"""Cliffside Siding & Trim""",Siding,Memphis,Tennessee,USA,(931) 326-9617,Larry Bryant,Family-run shop. Facebook only.
"""Fort Piano Tuning""",Piano Tuning,Saguenay,Quebec,Canada,(418) 742-8820,Terrell Washington,Facebook group only.
"""Pineview Power Raking""",Power Raking,Bakersfield,California,USA,(760) 361-4532,Keith Howard,Google Business profile only.
"""Colorado Shoe Repair""",Shoe Repair,Yellowknife,Northwest Territories,Canada,(867) 628-2257,Miguel Hicks,No digital presence whatsoever.
"""Sundance Pumping & Septic""",Septic Services,Visalia,California,USA,(559) 965-1702,Fang Evans,Walk-in traffic only.
"""Willowbrook Notary Public""",Notary,Fort Smith,Arkansas,USA,(501) 645-1759,Carlos Morin,Listed on HomeAdvisor only.
"""Cedar Local Courier""",Courier/Delivery,Macon,Georgia,USA,(229) 243-4161,Linda Webb,Yelp listing only.
"""Highland Tattoo & Piercing""",Tattoo Parlour,Duluth,Minnesota,USA,(952) 981-1446,Wayne Gupta,Phone orders only.
"""Bayview Gutter Cleaning""",Gutter Cleaning,Airdrie,Alberta,Canada,(403) 460-6579,Jennifer Green,Farmers market vendor only.
"""Mountain View Tree Care""",Tree Service,Green Bay,Wisconsin,USA,(920) 696-7954,Roy Kim,The Knot listed but no own site.
"""Pro Videography""",Videography,Topeka,Kansas,USA,(316) 318-4966,Jamal Jenkins,Jane App only. No own website.
"""North Shore Food & Catering""",Catering,Tuscaloosa,Alabama,USA,(334) 883-9660,Ana Hamilton,Phone book listing.
"""Direct Dog Training""",Dog Training,Pueblo,Colorado,USA,(303) 304-7071,Alain Joshi,Business card and referrals only.
"""Prairie Courier""",Courier/Delivery,Peoria,Arizona,USA,(928) 924-2062,Joyce Jordan,Old Yellow Pages ad.
"""Countryside Garage Doors""",Garage Doors,Sherbrooke,Quebec,Canada,(438) 612-7893,Dwight Henderson,In business 20+ years. No web presence.
"""Willowbrook Chef Services""",Personal Chef,Waco,Texas,USA,(956) 814-8474,Fang Novak,No digital presence whatsoever.
"""Garden Flooring""",Flooring Installation,Cambridge,Ontario,Canada,(705) 782-5066,Malik West,Door-to-door flyers.
"""Budget Appliance Service""",Appliance Repair,Quebec City,Quebec,Canada,(819) 833-4185,Chris Fortin,Instagram only.
"""Capital City Flooring""",Flooring Installation,Ann Arbor,Michigan,USA,(616) 613-1897,Melissa Butler,Existing site broken since 2018.
"""Oakridge Tax Prep""",Tax Preparation,Jonesboro,Arkansas,USA,(501) 982-7843,Cindy McDonald,Google Maps listing only.
"""Cottage Country Event Video""",Videography,Calgary,Alberta,Canada,(587) 433-9519,Amanda Bryant,Google Business profile only.
"""Skyline Muffler Shop""",Muffler Shop,Erie,Pennsylvania,USA,(724) 341-1286,Jacques Murray,Old Yellow Pages ad.
"""Heritage Lawn & Hydroseed""",Hydroseeding,Mobile,Alabama,USA,(334) 549-1490,Sandy Stewart,The Knot listed but no own site.
"""Lakeshore Custom Embroidery""",Embroidery,Lexington,Kentucky,USA,(502) 295-7265,Kendall Andersen,Listed on Bark.com only.
"""Lakeside Stucco & Plaster""",Stucco,Nashville,Tennessee,USA,(931) 636-2609,Amanda Brown,Door-to-door flyers.
"""North Shore Piano Service""",Piano Tuning,Ann Arbor,Michigan,USA,(248) 457-4146,Alexei Ford,Postcards and flyers.
"""Columbia Boarding Kennel""",Boarding Kennel,Oshawa,Ontario,Canada,(416) 230-3690,Xiao Belanger,"Radio ads, no web."
"""A-1 Watch Repair""",Watch Repair,Billings,Montana,USA,(406) 264-1903,Darius Stevens,Kijiji ads only.
"""Mountain Snow Removal""",Snow Removal,Burlington,Vermont,USA,(802) 226-1785,Larry Hall,Craigslist ads.
"""Arrow Stucco Finishing""",Stucco,Kingston,Ontario,Canada,(416) 955-6265,Joe Butler,Yelp listing only.
"""Willow Chiropractic""",Chiropractic,Seattle,Washington,USA,(425) 857-7736,Marcus Ward,Family-run shop. Facebook only.
"""Trail Insulation Co.""",Insulation,Greeley,Colorado,USA,(303) 707-8219,Jessica Campbell,Business card and referrals only.
"""Ironwood Laundromat""",Laundromat,Greensboro,North Carolina,USA,(704) 943-7606,Brian Virtanen,Existing site broken since 2018.
"""Pioneer Daycare""",Daycare,Bloomington,Indiana,USA,(219) 963-9062,Layla Jones,Family-run shop. Facebook only.
"""Horizon Hydroseeding""",Hydroseeding,Nanaimo,British Columbia,Canada,(250) 268-5317,Rosa Pham,Google Maps listing only.
"""South Side Grooming Salon""",Dog Grooming,Guelph,Ontario,Canada,(647) 407-8436,Rico Young,Lawn signs and referrals.
